data,model,neg_multiple,sim_split,metric,mean,ci_lower,ci_upper,id
rcmcs,rc_agg,1,"(0.6, 0.8)",f1,0.9322793369516085,0.9279060800206999,0.9389895913320078,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,1,"(0.6, 0.8)",binary_precision,0.9425256246462741,0.93318983151709,0.9520087738639844,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,1,"(0.6, 0.8)",binary_recall,0.9217023183710588,0.9054138327143285,0.9357721183818025,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,1,"(0.6, 0.8)",accuracy,0.9391252955082742,0.9323975571315997,0.9454787234042553,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,1,"(0.6, 0.8)",roc_auc,0.9806879711184413,0.9760795999731875,0.9846256603710299,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,1,"(0.4, 0.6)",f1,0.8472240696854243,0.8339232131464901,0.8589510872520763,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,1,"(0.4, 0.6)",binary_precision,0.9080802471986381,0.8860125396435853,0.9315524616694852,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,1,"(0.4, 0.6)",binary_recall,0.7931567844873022,0.7750193595590826,0.8083677184466019,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,1,"(0.4, 0.6)",accuracy,0.8699876237623763,0.8490872524752475,0.8837561881188118,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,1,"(0.4, 0.6)",roc_auc,0.9520044411755993,0.9392403351630689,0.9574887710501059,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,1,"(0.0, 0.4)",f1,0.782203553241849,0.767839571113921,0.7962583206176189,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,1,"(0.0, 0.4)",binary_precision,0.9298298306821546,0.9171175699300699,0.9397819675824912,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,1,"(0.0, 0.4)",binary_recall,0.6713008376819289,0.6568476095617529,0.6856883740837191,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,1,"(0.0, 0.4)",accuracy,0.7727923627684965,0.7572866945107399,0.7855310262529832,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,1,"(0.0, 0.4)",roc_auc,0.9189646104743991,0.9072217833750696,0.9303863869606905,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,3,"(0.8, 1)",f1,0.9123092792838616,0.9012773187716642,0.9221536407686983,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,3,"(0.8, 1)",binary_precision,0.8858413265222204,0.8709558976727388,0.89703067391841,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,3,"(0.8, 1)",binary_recall,0.9370649478755759,0.927261558997829,0.9495410646658673,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,3,"(0.8, 1)",accuracy,0.9620384047267354,0.9578737895946168,0.9668020679468242,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,3,"(0.8, 1)",roc_auc,0.9796199982982723,0.9751269379098559,0.984111854984229,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,3,"(0.6, 0.8)",f1,0.8930962894195614,0.879864959773815,0.9031344425956739,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,3,"(0.6, 0.8)",binary_precision,0.8798580168308998,0.8631109943977591,0.8914354266746387,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,3,"(0.6, 0.8)",binary_recall,0.9086046741674423,0.8974032042475774,0.9201128276161483,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,3,"(0.6, 0.8)",accuracy,0.9515451055662189,0.9448368522072936,0.9577495201535509,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,3,"(0.6, 0.8)",roc_auc,0.9810887900284258,0.9790044658646746,0.9848926291975675,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,3,"(0.4, 0.6)",f1,0.7932479096356279,0.7716002937117904,0.8114156301846489,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,3,"(0.4, 0.6)",binary_precision,0.8283544337121898,0.8090174706246134,0.8507266800995614,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,3,"(0.4, 0.6)",binary_recall,0.7670143685487352,0.7345530595690195,0.7990023319615912,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,3,"(0.4, 0.6)",accuracy,0.9105688622754491,0.898937125748503,0.9172230538922156,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,3,"(0.4, 0.6)",roc_auc,0.9522090493885347,0.9439618315615516,0.9594505169289514,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,3,"(0.0, 0.4)",f1,0.6749063369435849,0.6551557862876123,0.6858070456788383,8a155bc5673b4c6aa8667dd55755fe0b
